Time [ms],FluxLinkage(PhaseA) [Wb]
0,0.035646309
0.02,0.035627575
0.04,0.03563409
0.06,0.035663506
0.08,0.035708191
0.1,0.035758995
0.12,0.035815012
0.14,0.035884899
0.16,0.035972071
0.18,0.036071818
0.2,0.036174517
0.22,0.03628354
0.24,0.036410523
0.26,0.036564432
0.28,0.036739034
0.3,0.036875066
0.32,0.037037434
0.34,0.037229808
0.36,0.037447899
0.38,0.037671574
0.4,0.037902936
0.42,0.038156131
0.44,0.038440641
0.46,0.038743404
0.48,0.039053251
0.5,0.039380699
0.52,0.03974836
0.54,0.040161901
0.56,0.040595192
0.58,0.04099661
0.6,0.041448491
0.62,0.041950339
0.64,0.042487397
0.66,0.043042453
0.68,0.043628412
0.7,0.044262901
0.72,0.044949952
0.74,0.045677198
0.76,0.046436711
0.78,0.047260152
0.8,0.048170363
0.82,0.049188764
0.84,0.050253178
0.86,0.051299551
0.88,0.05245989
0.9,0.05372897
0.92,0.05510984
0.94,0.056608127
0.96,0.058245433
0.98,0.060017948
1,0.061904387
1.02,0.06392481
1.04,0.066073999
1.06,0.068354761
1.08,0.070684482
1.1,0.0730198
1.12,0.075260529
1.14,0.077247814
1.16,0.079014146
1.18,0.080635416
1.2,0.082108987
1.22,0.083600292
1.24,0.085170273
1.26,0.08678329
1.28,0.088372284
1.3,0.089951357
1.32,0.091582773
1.34,0.093349516
1.36,0.095362333
1.38,0.097538349
1.4,0.099652583
1.42,0.101782141
1.44,0.10407261
1.46,0.106512112
1.48,0.108904595
1.5,0.111326138
1.52,0.113743291
1.54,0.116004522
1.56,0.118172293
1.58,0.120285862
1.6,0.122325799
1.62,0.124319062
1.64,0.126292702
1.66,0.128264363
1.68,0.130001103
1.7,0.131496719
1.72,0.132987637
1.74,0.134635431
1.76,0.136408276
1.78,0.138273397
1.8,0.1401932
1.82,0.142142351
1.84,0.144111376
1.86,0.146102848
1.88,0.148123714
1.9,0.150199166
1.92,0.152333613
1.94,0.154511601
1.96,0.156646315
1.98,0.158655538
2,0.160523045
2.02,0.162325449
2.04,0.164168503
2.06,0.166072291
2.08,0.167959009
2.1,0.169733361
2.12,0.171444144
2.14,0.173106873
2.16,0.1747487
2.18,0.176372843
2.2,0.177970228
2.22,0.179574641
2.24,0.181053804
2.26,0.182509714
2.28,0.183976685
2.3,0.185447086
2.32,0.187032132
2.34,0.18880754
2.36,0.190729547
2.38,0.192580538
2.4,0.194488738
2.42,0.196445443
2.44,0.19843448
2.46,0.200426494
2.48,0.202387858
2.5,0.204309361
2.52,0.205886663
2.54,0.207294903
2.56,0.208650822
2.58,0.210067511
2.6,0.211550858
2.62,0.213069246
2.64,0.214628401
2.66,0.216231496
2.68,0.217832182
2.7,0.219447619
2.72,0.221115395
2.74,0.222860965
2.76,0.224648966
2.78,0.226419179
2.8,0.228178933
2.82,0.229861385
2.84,0.231434581
2.86,0.232909383
2.88,0.234317557
2.9,0.235561301
2.92,0.23650936
2.94,0.237186697
2.96,0.237607493
2.98,0.237798277
3,0.237823452
3.02,0.237756483
3.04,0.237660326
3.06,0.237527167
3.08,0.237301692
3.1,0.237180646
3.12,0.237141846
3.14,0.237153836
3.16,0.237253738
3.18,0.237427645
3.2,0.237609197
3.22,0.237729352
3.24,0.237854613
3.26,0.237930432
3.28,0.237854138
3.3,0.237568962
3.32,0.237056425
3.34,0.236311066
3.36,0.235282269
3.38,0.234035086
3.4,0.232700065
3.42,0.231241387
3.44,0.229669726
3.46,0.227992848
3.48,0.226268967
3.5,0.224560747
3.52,0.222863875
3.54,0.22119181
3.56,0.219612555
3.58,0.218060781
3.6,0.216509275
3.62,0.214935713
3.64,0.213392778
3.66,0.21190447
3.68,0.210459178
3.7,0.209060278
3.72,0.207629649
3.74,0.206086209
3.76,0.204359056
3.78,0.202524553
3.8,0.20060277
3.82,0.198605707
3.84,0.196579795
3.86,0.194571875
3.88,0.192611449
3.9,0.190524952
3.92,0.188424027
3.94,0.186560635
3.96,0.184955242
3.98,0.183440859
4,0.181924551
4.02,0.180420707
4.04,0.178858647
4.06,0.177289568
4.08,0.175736287
4.1,0.174159955
4.12,0.172559853
4.14,0.170888944
4.16,0.169146028
4.18,0.167301903
4.2,0.165374492
4.22,0.163425205
4.24,0.161499661
4.26,0.159667224
4.28,0.157756514
4.3,0.155722964
4.32,0.153619764
4.34,0.151541545
4.36,0.149496931
4.38,0.147485913
4.4,0.145535396
4.42,0.143595961
4.44,0.141669611
4.46,0.139737551
4.48,0.13785182
4.5,0.136014565
4.52,0.134254997
4.54,0.132636365
4.56,0.131069922
4.58,0.129419336
4.6,0.127563458
4.62,0.125642393
4.64,0.123652833
4.66,0.121594398
4.68,0.1194884
4.7,0.117346722
4.72,0.115184232
4.74,0.112722558
4.76,0.110215525
4.78,0.10776996
4.8,0.105393374
4.82,0.103101837
4.84,0.100977518
4.86,0.098993381
4.88,0.096902574
4.9,0.094930424
4.92,0.09310788
4.94,0.091409494
4.96,0.089815096
4.98,0.088233358
5,0.086598064
5.02,0.084900346
5.04,0.083245085
5.06,0.081649595
5.08,0.080103494
5.1,0.078479966
5.12,0.076606595
5.14,0.074506436
5.16,0.072312971
5.18,0.070142283
5.2,0.067999868
5.22,0.065886709
5.24,0.063821429
5.26,0.061845029
5.28,0.059985028
5.3,0.058175794
5.32,0.05653147
5.34,0.055048312
5.36,0.053693059
5.38,0.052422263
5.4,0.051226064
5.42,0.050115195
5.44,0.049093977
5.46,0.048145507
5.48,0.047246229
5.5,0.046407515
5.52,0.04563129
5.54,0.044919346
5.56,0.044249755
5.58,0.043568053
5.6,0.042952893
5.62,0.042389872
5.64,0.041870877
5.66,0.041379899
5.68,0.040909701
5.7,0.040473173
5.72,0.040077431
5.74,0.03970537
5.76,0.039348557
5.78,0.039011713
5.8,0.038699845
5.82,0.038423643
5.84,0.038157282
5.86,0.037872495
5.88,0.037627603
5.9,0.037411771
5.92,0.037216916
5.94,0.03703091
5.96,0.036854903
5.98,0.03669633
6,0.036556682
6.02,0.036428455
6.04,0.03630515
6.06,0.036197275
6.08,0.036106979
6.1,0.036044019
6.12,0.035972899
6.14,0.035883464
6.16,0.035821654
6.18,0.035777903
6.2,0.035751618
6.22,0.03573088
6.24,0.035715011
6.26,0.035716051
6.28,0.035735921
6.3,0.0357622
6.32,0.0357911
6.34,0.035834404
6.36,0.035900451
6.38,0.035998669
6.4,0.036070174
6.42,0.036130359
6.44,0.036225507
6.46,0.036343416
6.48,0.036473818
6.5,0.036607553
6.52,0.036753695
6.54,0.036919283
6.56,0.037103024
6.58,0.037296371
6.6,0.037498195
6.62,0.037722783
6.64,0.037979584
6.66,0.038279635
6.68,0.038545048
6.7,0.038817367
6.72,0.039129849
6.74,0.039468556
