"Time [ms]","L(PhaseA,PhaseA) [mH]","Moving1.Torque [NewtonMeter]"
8.3,34.5062325556378,-0.0038690961175758
8.4,34.5086766347389,0.00834941154059242
8.5,34.5320955016142,0.0202845262736592
8.6,34.580484658088,0.0324566664703489
8.7,34.6308626076016,0.0421670124221731
8.8,34.7026601500662,0.0523310119971601
8.9,34.7934339165463,0.0627060131962754
9,34.9046857324748,0.0750998618072112
9.1,35.0325926001127,0.0869843686656304
9.2,35.1818230332522,0.0987701980573749
9.3,35.3431185738876,0.111021473812189
9.4,35.5298303985775,0.12492753793178
9.5,35.7382309502232,0.140282765771301
9.6,35.9739489402768,0.157439561641259
9.7,36.2502650602272,0.176718931286149
9.8,36.5267269990621,0.191614387720725
9.9,36.8334485975363,0.207214989411749
10,37.1753180865326,0.223837497154603
10.1,37.5483248511866,0.247789586108179
10.2,37.9620539459066,0.271361864706762
10.3,38.4132021120197,0.294422795773351
10.4,38.8788126898716,0.315651173818433
10.5,39.397391424304,0.342990318953622
10.6,39.9676096271086,0.378345215073033
10.7,40.601778165543,0.42140927307719
10.8,41.3539514169785,0.477797126120159
10.9,42.1064997567247,0.521930354505961
11,42.9169880517336,0.566099912167854
11.1,43.8693247833321,0.622760038041329
11.2,44.9221660034744,0.712812442927933
11.3,46.1551137834658,0.838588613386134
11.4,47.5967057785675,0.971521549530422
11.5,49.2187540957159,1.11414201785828
11.6,51.1241599271358,1.3057002644134
11.7,53.3862865018251,1.56191615704276
11.8,56.2411169839459,1.95113378180764
11.9,59.8489233656198,2.47809818895961
12,63.6719068990984,2.85761653638582
12.1,67.9598041575667,2.99766686775159
12.2,72.9810970108978,3.0191901629762
12.3,77.9391653579582,3.10485398595568
12.4,83.3046552556576,3.48015692488396
12.5,88.923335054931,3.64555954503126
12.6,94.7490779769779,3.55423985960882
12.7,100.306255052653,3.33681257507731
12.8,105.502389887629,3.22881410152809
12.9,110.687105505544,3.29296369237188
13,115.908104625446,3.53651890750083
13.1,121.479741175213,3.73203431630415
13.2,127.170799333533,3.58676459845962
13.3,132.940357031897,3.24095548538442
13.4,138.059390768711,2.99813765431293
13.5,143.215676601473,3.27306039196358
13.6,148.602546737318,3.53335011205698
13.7,154.229655751334,3.48343970991278
13.8,159.713894905445,3.30863861364569
13.9,164.868445410696,3.18612020937734
14,169.97650658958,3.23768211168852
14.1,175.233244901427,3.4870688782396
14.2,180.675940969282,3.68810357315388
14.3,186.275023429478,3.58013130314654
14.4,192.013985715576,3.24508308303573
14.5,197.195073289261,2.97005782065827
14.6,202.267261740279,3.20467724961202
14.7,207.631647045062,3.52032577768692
14.8,213.225463612723,3.49191116972456
14.9,218.734280984126,3.30714645077887
15,223.859123122548,3.16815238542335
15.1,228.968318091874,3.1662522144916
15.2,234.109493945437,3.36094090852811
15.3,239.463478229373,3.56401461889196
15.4,244.837857323676,3.4781396138227
15.5,250.370060462601,3.20644920884307
15.6,255.542754530757,2.96510465242204
15.7,260.528527751941,3.14583624269283
15.8,265.856481127156,3.46826387832068
15.9,271.350769601195,3.44013921135821
16,276.789364185956,3.25799314568196
16.1,281.907626323996,3.12616174827285
16.2,286.976650028238,3.11227191612036
16.3,292.068092281513,3.33177786405764
16.4,297.384068156293,3.56981083632849
16.5,302.795979961651,3.52757838938437
16.6,308.392710494188,3.24372768290847
16.7,313.650627141113,2.93936375987691
16.8,318.463003628326,2.99373143056844
16.9,323.638075823062,3.38074284574971
17,328.988225907608,3.36718736794081
17.1,334.360778724754,3.20002536816552
17.2,339.396095525195,3.05269822689232
17.3,344.327080243183,3.0304725995217
17.4,349.290773827903,3.22705747131509
17.5,354.469423829364,3.50058851553786
17.6,359.745555117166,3.48126170395229
17.7,365.229541336639,3.18164673806949
17.8,370.415731046405,2.83766266919899
17.9,375.000828123884,2.89626859910503
18,380.143682124308,3.38804187097363
18.1,385.556567713954,3.42426723977004
18.2,391.00081708331,3.22023583105539
18.3,396.04482012756,3.03545337945359
18.4,400.926899583819,2.97027235106746
18.5,405.717588442778,3.03519472020116
18.6,410.636088509818,3.22509754665288
18.7,415.550857140436,3.27987701026754
18.8,420.691350028056,3.06943406252635
18.9,425.74119555136,2.76852728580124
19,430.137224302811,2.75775135079683
19.1,435.125843378931,3.18706639591857
19.2,440.267246654953,3.23567358388742
19.3,445.387587855572,3.06041268773477
19.4,450.182523920102,2.86099223856975
19.5,454.719434268784,2.75174678946404
19.6,459.149727929362,2.80512547398936
19.7,463.538132395508,2.93700306573583
19.8,467.996034584138,2.94312347117734
19.9,472.603117097378,2.60398128699206
20,476.625001198647,2.0164173161652
20.1,479.401026102394,1.46214118879793
20.2,481.978978568272,1.41110612586632
20.3,483.96556091425,1.17096570030796
20.4,485.598709334573,0.84752074210717
20.5,486.776038884643,0.549688616345142
20.6,487.440913668859,0.326702573730627
20.7,487.838154994694,0.150285320076439
20.8,487.945894878477,0.00367019115808732
