Time [ms],"L(PhaseA,PhaseA) [mH]",Moving1.Torque_1 [NewtonMeter]
8.3,28.30746455,-4.019173602
8.4,28.30797051,8.189065166
8.5,28.31311499,20.12993129
8.6,28.32399376,31.87682247
8.7,28.33671029,41.86965
8.8,28.3542926,52.2308598
8.9,28.37618663,62.49560078
9,28.40188356,73.15842131
9.1,28.43120793,84.419655
9.2,28.46459293,95.46452755
9.3,28.5006321,106.6765922
9.4,28.54167399,118.3944602
9.5,28.58658137,130.4120165
9.6,28.63513187,142.7301401
9.7,28.68766909,155.3860651
9.8,28.74102958,166.0121009
9.9,28.79758235,176.8677381
10,28.85718923,187.5592365
10.1,28.91945149,199.2770953
10.2,28.9845789,211.2292092
10.3,29.05277282,222.6793225
10.4,29.12207568,232.9971872
10.5,29.19475668,244.1391097
10.6,29.2690999,256.240974
10.7,29.34538498,268.810094
10.8,29.42495717,282.6040043
10.9,29.50438574,293.4525479
11,29.58558761,304.0310187
11.1,29.66933433,314.4790406
11.2,29.75449549,326.4518019
11.3,29.84078074,339.7873274
11.4,29.92892914,352.1334305
11.5,30.01737255,362.0770031
11.6,30.10752522,372.109072
11.7,30.19834709,382.5866406
11.8,30.29056594,392.5850393
11.9,30.38569017,403.3218545
12,30.48053827,409.0421942
12.1,30.57468574,411.7532012
12.2,30.66963741,412.3771029
12.3,30.76530753,412.492768
12.4,30.86124005,413.7648474
12.5,30.95787003,413.5754397
12.6,31.05485029,411.4579013
12.7,31.15195618,408.8091004
12.8,31.24860268,407.29032
12.9,31.3452852,406.4757168
13,31.44313848,408.1166555
13.1,31.54125564,407.3967902
13.2,31.63869787,404.2078528
13.3,31.73630952,400.6501458
13.4,31.83411524,397.296485
13.5,31.9318735,396.1631322
13.6,32.02949987,394.7610132
13.7,32.12716084,391.5291784
13.8,32.22475971,387.576786
13.9,32.32243088,384.5734039
14,32.42001894,382.1943531
14.1,32.51787613,382.0042286
14.2,32.61517022,380.598502
14.3,32.71100857,376.1807464
14.4,32.8068175,371.5241448
14.5,32.90251061,366.810393
14.6,32.99790518,364.3478786
14.7,33.09319506,362.1613871
14.8,33.1890211,358.2987811
14.9,33.28474099,353.432562
15,33.38007365,349.1862785
15.1,33.47439408,345.4438492
15.2,33.56825432,343.7222202
15.3,33.6615272,341.8534019
15.4,33.75347034,336.9538652
15.5,33.84512634,332.0961352
15.6,33.93611856,326.9488342
15.7,34.0260743,323.4100198
15.8,34.11482041,320.4857148
15.9,34.20302957,315.888119
16,34.29027886,310.4023113
16.1,34.37684635,305.4144942
16.2,34.4623633,300.9187576
16.3,34.54701918,298.1217174
16.4,34.63063108,295.5733198
16.5,34.71229357,289.7127123
16.6,34.79354062,283.5408732
16.7,34.87437287,277.0112837
16.8,34.95454227,271.9398681
16.9,35.03358119,268.6054309
17,35.11209197,263.5290188
17.1,35.18926249,257.7895217
17.2,35.26531728,252.0651541
17.3,35.33964245,247.0471947
17.4,35.4122568,243.4565173
17.5,35.48407156,240.4925027
17.6,35.55416734,234.2652148
17.7,35.62324822,227.4605042
17.8,35.69086193,220.246017
17.9,35.7572791,214.2808942
18,35.82256816,210.2820032
18.1,35.88698473,204.4233956
18.2,35.95005182,197.4150998
18.3,36.01161656,190.3690264
18.4,36.07147299,183.9872477
18.5,36.12956293,178.6384287
18.6,36.18591339,174.0418242
18.7,36.24090132,167.5357648
18.8,36.29483589,160.3387508
18.9,36.34691551,152.9154873
19,36.39680418,146.061139
19.1,36.44505332,141.5976677
19.2,36.49197718,135.1892596
19.3,36.53658591,127.5910994
19.4,36.5791296,119.5879837
19.5,36.6197833,111.8784583
19.6,36.65870024,105.2796372
19.7,36.69523743,98.76706223
19.8,36.72960026,91.27651382
19.9,36.76228258,81.90214632
20,36.79250927,71.26274853
20.1,36.82048648,59.59812259
20.2,36.84551248,51.47418786
20.3,36.86699945,42.80831506
20.4,36.88475834,33.8476677
20.5,36.90014594,25.33515769
20.6,36.91246611,17.29872992
20.7,36.92066505,9.545944052
20.8,36.9241879,2.021618638
