Time [ms],FluxLinkage(PhaseA) [Wb],Moving1.Position [deg]
20,0.067020255,36
20.1,0.064133852,36.18
20.2,0.061237151,36.36
20.3,0.058486098,36.54
20.4,0.055823925,36.72
20.5,0.053233372,36.9
20.6,0.050596573,37.08
20.7,0.047866503,37.26
20.8,0.044952586,37.44
20.9,0.042123595,37.62
21,0.039397497,37.8
21.1,0.036951016,37.98
21.2,0.034416423,38.16
21.3,0.032179902,38.34
21.4,0.030313602,38.52
21.5,0.028481465,38.7
21.6,0.026980991,38.88
21.7,0.025812354,39.06
21.8,0.024831604,39.24
21.9,0.023995786,39.42
22,0.023260848,39.6
22.1,0.022621025,39.78
22.2,0.022076013,39.96
22.3,0.021586185,40.14
22.4,0.021160367,40.32
22.5,0.020797639,40.5
22.6,0.020403675,40.68
22.7,0.0200716,40.86
22.8,0.019780722,41.04
22.9,0.019512426,41.22
23,0.019272443,41.4
23.1,0.019046438,41.58
23.2,0.01883332,41.76
23.3,0.018640354,41.94
23.4,0.018465293,42.12
23.5,0.018306787,42.3
23.6,0.018167442,42.48
23.7,0.018026616,42.66
23.8,0.017902878,42.84
23.9,0.017796223,43.02
24,0.017698539,43.2
24.1,0.017614397,43.38
24.2,0.017538266,43.56
24.3,0.017470197,43.74
24.4,0.017412084,43.92
24.5,0.017363808,44.1
24.6,0.017325192,44.28
24.7,0.017297035,44.46
24.8,0.017272441,44.64
24.9,0.017256675,44.82
25,0.017253604,45
25.1,0.017256926,45.18
25.2,0.017273026,45.36
25.3,0.017298073,45.54
25.4,0.017326248,45.72
25.5,0.017365046,45.9
25.6,0.017413668,46.08
25.7,0.017472093,46.26
25.8,0.017540364,46.44
25.9,0.017616809,46.62
26,0.017701274,46.8
26.1,0.017799338,46.98
26.2,0.017906419,47.16
26.3,0.018030806,47.34
26.4,0.018172739,47.52
26.5,0.018312155,47.7
26.6,0.018471103,47.88
26.7,0.018646889,48.06
26.8,0.018840811,48.24
26.9,0.019054799,48.42
27,0.019281563,48.6
27.1,0.019522417,48.78
27.2,0.019792034,48.96
27.3,0.020084163,49.14
27.4,0.020418761,49.32
27.5,0.020818665,49.5
27.6,0.021180481,49.68
27.7,0.021608299,49.86
27.8,0.022102798,50.04
27.9,0.022655665,50.22
28,0.02330677,50.4
28.1,0.024054845,50.58
28.2,0.024908573,50.76
28.3,0.025917835,50.94
28.4,0.027127068,51.12
28.5,0.028682905,51.3
28.6,0.030589162,51.48
28.7,0.032506029,51.66
28.8,0.034779651,51.84
28.9,0.037338844,52.02
29,0.039821721,52.2
29.1,0.042573331,52.38
29.2,0.045408837,52.56
29.3,0.048302536,52.74
29.4,0.051007523,52.92
29.5,0.053624349,53.1
29.6,0.056215196,53.28
29.7,0.058904848,53.46
29.8,0.061652649,53.64
29.9,0.064512767,53.82
30,0.067354675,54
30.1,0.06978236,54.18
30.2,0.072435477,54.36
30.3,0.075165191,54.54
30.4,0.077985168,54.72
30.5,0.080667158,54.9
30.6,0.083236137,55.08
30.7,0.085795946,55.26
30.8,0.088444965,55.44
30.9,0.091150722,55.62
31,0.093970109,55.8
31.1,0.096812816,55.98
31.2,0.09925865,56.16
31.3,0.101877949,56.34
31.4,0.104579315,56.52
31.5,0.10739428,56.7
31.6,0.110081019,56.88
31.7,0.11262604,57.06
31.8,0.11513827,57.24
31.9,0.117713899,57.42
32,0.1203544,57.6
32.1,0.123059764,57.78
32.2,0.12581126,57.96
32.3,0.128255984,58.14
32.4,0.130821665,58.32
32.5,0.133480107,58.5
32.6,0.136244163,58.68
32.7,0.138893345,58.86
32.8,0.141385635,59.04
32.9,0.143864678,59.22
33,0.146389331,59.4
33.1,0.149045983,59.58
33.2,0.151769908,59.76
33.3,0.154534123,59.94
33.4,0.156986874,60.12
33.5,0.159456561,60.3
33.6,0.162028744,60.48
33.7,0.164704928,60.66
33.8,0.167292376,60.84
33.9,0.169722464,61.02
34,0.172128092,61.2
34.1,0.174607521,61.38
34.2,0.177176034,61.56
34.3,0.179819239,61.74
34.4,0.182520144,61.92
34.5,0.184926667,62.1
34.6,0.187304098,62.28
34.7,0.189852424,62.46
34.8,0.192524689,62.64
34.9,0.195128711,62.82
35,0.197525094,63
35.1,0.199905865,63.18
35.2,0.20225049,63.36
35.3,0.204686768,63.54
35.4,0.207137592,63.72
35.5,0.209691953,63.9
35.6,0.212029101,64.08
35.7,0.214268197,64.26
35.8,0.216720571,64.44
35.9,0.219238779,64.62
36,0.221686294,64.8
36.1,0.223954797,64.98
36.2,0.226165945,65.16
36.3,0.228327887,65.34
36.4,0.230473135,65.52
36.5,0.232697873,65.7
36.6,0.234911742,65.88
36.7,0.23668645,66.06
36.8,0.237957802,66.24
36.9,0.239112126,66.42
37,0.240012582,66.6
37.1,0.240757341,66.78
37.2,0.241227222,66.96
37.3,0.241529376,67.14
37.4,0.24168993,67.32
37.5,0.241679906,67.5
37.6,0.241600606,67.68
37.7,0.241398837,67.86
37.8,0.241048605,68.04
37.9,0.240519898,68.22
38,0.23982212,68.4
38.1,0.23879972,68.58
38.2,0.237664153,68.76
38.3,0.236448279,68.94
38.4,0.234702469,69.12
38.5,0.232342673,69.3
38.6,0.229959022,69.48
38.7,0.227754827,69.66
38.8,0.225614629,69.84
38.9,0.22347246,70.02
39,0.221185681,70.2
39.1,0.218812453,70.38
39.2,0.21630441,70.56
39.3,0.213890556,70.74
39.4,0.211796556,70.92
39.5,0.20954758,71.1
39.6,0.20687642,71.28
39.7,0.204191981,71.46
39.8,0.201734029,71.64
39.9,0.199365289,71.82
40,0.19703357,72
