Time [ms],FluxLinkage(PhaseA) [Wb],Moving1.Position [deg]
0,0.017251851,0
0.12,0.017259515,0.216
0.24,0.017278972,0.432
0.36,0.017313176,0.648
0.48,0.017358143,0.864
0.6,0.017415586,1.08
0.72,0.017485052,1.296
0.84,0.017568788,1.512
0.96,0.017666147,1.728
1.08,0.017777425,1.944
1.2,0.017906983,2.16
1.32,0.018053883,2.376
1.44,0.018223235,2.592
1.56,0.018408158,2.808
1.68,0.018612701,3.024
1.8,0.018839199,3.24
1.92,0.019093827,3.456
2.04,0.019373479,3.672
2.16,0.019679409,3.888
2.28,0.020021336,4.104
2.4,0.020407307,4.32
2.52,0.020848136,4.536
2.64,0.021347909,4.752
2.76,0.021908315,4.968
2.88,0.022538525,5.184
3,0.023300285,5.4
3.12,0.024208091,5.616
3.24,0.025282122,5.832
3.36,0.026571524,6.048
3.48,0.02816534,6.264
3.6,0.030252638,6.48
3.72,0.032885594,6.696
3.84,0.035922041,6.912
3.96,0.038803229,7.128
4.08,0.041920503,7.344
4.2,0.045395005,7.56
4.32,0.048777715,7.776
4.44,0.05200452,7.992
4.56,0.0550297,8.208
4.68,0.058170814,8.424
4.8,0.061527471,8.64
4.92,0.065287762,8.856
5.04,0.068514924,9.072
5.16,0.071366986,9.288
5.28,0.074615476,9.504
5.4,0.077922636,9.72
5.52,0.081090927,9.936
5.64,0.084053914,10.152
5.76,0.08710617,10.368
5.88,0.090347472,10.584
6,0.094061797,10.8
6.12,0.097546053,11.016
6.24,0.100352889,11.232
6.36,0.103533972,11.448
6.48,0.106888216,11.664
6.6,0.11009402,11.88
6.72,0.113103987,12.096
6.84,0.116093706,12.312
6.96,0.119219306,12.528
7.08,0.122672313,12.744
7.2,0.126068313,12.96
7.32,0.128864713,13.176
7.44,0.131908877,13.392
7.56,0.135238465,13.608
7.68,0.138426622,13.824
7.8,0.141462155,14.04
7.92,0.144358624,14.256
8.04,0.147415625,14.472
8.16,0.150799498,14.688
8.28,0.154352175,14.904
8.4,0.157236935,15.12
8.52,0.160044348,15.336
8.64,0.163225067,15.552
8.76,0.166341653,15.768
8.88,0.169317813,15.984
9,0.172131152,16.2
9.12,0.175041523,16.416
9.24,0.178232602,16.632
9.36,0.181807893,16.848
9.48,0.184858418,17.064
9.6,0.18751423,17.28
9.72,0.190592229,17.496
9.84,0.193743206,17.712
9.96,0.196752576,17.928
10.08,0.199564425,18.144
10.2,0.202365325,18.36
10.32,0.205287333,18.576
10.44,0.208541397,18.792
10.56,0.2115682,19.008
10.68,0.214058771,19.224
10.8,0.21692163,19.44
10.92,0.219938925,19.656
11.04,0.222804653,19.872
11.16,0.225460714,20.088
11.28,0.228004597,20.304
11.4,0.230625214,20.52
11.52,0.23348743,20.736
11.64,0.236127156,20.952
11.76,0.237770485,21.168
11.88,0.239066658,21.384
12,0.240247871,21.6
12.12,0.241008364,21.816
12.24,0.241516592,22.032
12.36,0.24178978,22.248
12.48,0.241935583,22.464
12.6,0.241918412,22.68
12.72,0.241663583,22.896
12.84,0.241226681,23.112
12.96,0.240435985,23.328
13.08,0.239347503,23.544
13.2,0.237943723,23.76
13.32,0.236347863,23.976
13.44,0.233931258,24.192
13.56,0.231189744,24.408
13.68,0.228596645,24.624
13.8,0.226016393,24.84
13.92,0.223347514,25.056
14.04,0.220529267,25.272
14.16,0.217500766,25.488
14.28,0.214568314,25.704
14.4,0.211873281,25.92
14.52,0.209005006,26.136
14.64,0.205920912,26.352
14.76,0.203005049,26.568
14.88,0.200182646,26.784
15,0.19730831,27
15.12,0.19438453,27.216
15.24,0.191196941,27.432
15.36,0.188093671,27.648
15.48,0.185176476,27.864
15.6,0.182321554,28.08
15.72,0.179008852,28.296
15.84,0.175863614,28.512
15.96,0.172865792,28.728
16.08,0.169963803,28.944
16.2,0.167020734,29.16
16.32,0.163874439,29.376
16.44,0.160703076,29.592
16.56,0.15766799,29.808
16.68,0.154863464,30.024
16.8,0.151501138,30.24
16.92,0.148228177,30.456
17.04,0.145108144,30.672
17.16,0.142115472,30.888
17.28,0.139098271,31.104
17.4,0.135910451,31.32
17.52,0.132607542,31.536
17.64,0.129456705,31.752
17.76,0.126567017,31.968
17.88,0.123307591,32.184
18,0.120022561,32.4
18.12,0.116859314,32.616
18.24,0.113820499,32.832
18.36,0.110769588,33.048
18.48,0.107594235,33.264
18.6,0.104213354,33.48
18.72,0.101008595,33.696
18.84,0.098005289,33.912
18.96,0.094804596,34.128
19.08,0.091323559,34.344
19.2,0.088051039,34.56
19.32,0.08490325,34.776
19.44,0.081814544,34.992
19.56,0.078680602,35.208
19.68,0.075319988,35.424
19.8,0.072049192,35.64
19.92,0.068947523,35.856
20.04,0.065899054,36.072
20.16,0.062389437,36.288
20.28,0.059042436,36.504
20.4,0.055823925,36.72
20.52,0.052701051,36.936
20.64,0.049533577,37.152
20.76,0.046125638,37.368
20.88,0.042684531,37.584
21,0.039397497,37.8
21.12,0.036458111,38.016
21.24,0.033472435,38.232
21.36,0.031033037,38.448
21.48,0.028825838,38.664
21.6,0.026980991,38.88
21.72,0.025603168,39.096
21.84,0.024482429,39.312
21.96,0.023546531,39.528
22.08,0.02274053,39.744
22.2,0.022076013,39.96
22.32,0.021495784,40.176
22.44,0.021008387,40.392
22.56,0.020553191,40.608
22.68,0.020133797,40.824
22.8,0.019780722,41.04
22.92,0.019462461,41.256
23.04,0.01918296,41.472
23.16,0.018915887,41.688
23.28,0.018677184,41.904
23.4,0.018465293,42.12
23.52,0.018277253,42.336
23.64,0.018110509,42.552
23.76,0.017949989,42.768
23.88,0.017816962,42.984
24,0.017698539,43.2
24.12,0.017598961,43.416
24.24,0.01750953,43.632
24.36,0.017434408,43.848
24.48,0.017372745,44.064
24.6,0.017325192,44.28
24.72,0.017292996,44.496
24.84,0.01726442,44.712
24.96,0.017253195,44.928
25.08,0.017255192,45.144
25.2,0.017273026,45.36
25.32,0.017302751,45.576
25.44,0.017341267,45.792
25.56,0.017393517,46.008
25.68,0.017460043,46.224
25.8,0.017540364,46.44
25.92,0.017632502,46.656
26.04,0.017738665,46.872
26.16,0.01786187,47.088
26.28,0.01800417,47.304
26.4,0.018172739,47.52
26.52,0.018342692,47.736
26.64,0.018539835,47.952
26.76,0.018760952,48.168
26.88,0.01901022,48.384
27,0.019281563,48.6
27.12,0.019573795,48.816
27.24,0.019906596,49.032
27.36,0.020278084,49.248
27.48,0.02073249,49.464
27.6,0.021180481,49.68
27.72,0.021702446,49.896
27.84,0.022312677,50.112
27.96,0.023033115,50.328
28.08,0.023899455,50.544
28.2,0.024908573,50.76
28.32,0.026140705,50.976
28.44,0.027701554,51.192
28.56,0.029793723,51.408
28.68,0.032097782,51.624
28.8,0.034779651,51.84
28.92,0.03781682,52.056
29.04,0.040908086,52.272
29.16,0.044265221,52.488
29.28,0.047743066,52.704
29.4,0.051007523,52.92
29.52,0.054132918,53.136
29.64,0.057244178,53.352
29.76,0.06053159,53.568
29.88,0.063927363,53.784
30,0.067354675,54
30.12,0.07030016,54.216
30.24,0.073515699,54.432
30.36,0.076862716,54.648
30.48,0.080144945,54.864
30.6,0.083236137,55.08
30.72,0.086318844,55.296
30.84,0.089536292,55.512
30.96,0.092844907,55.728
31.08,0.096263054,55.944
31.2,0.09925865,56.16
31.32,0.102401391,56.376
31.44,0.105690222,56.592
31.56,0.109012866,56.808
31.68,0.112101718,57.024
31.8,0.11513827,57.24
31.92,0.118265224,57.456
32.04,0.121446234,57.672
32.16,0.124727183,57.888
32.28,0.127787794,58.104
32.4,0.130821665,58.32
32.52,0.134025952,58.536
32.64,0.137317231,58.752
32.76,0.140376286,58.968
32.88,0.143358983,59.184
33,0.146389331,59.4
33.12,0.149580917,59.616
33.24,0.15288184,59.832
33.36,0.156066496,60.048
33.48,0.158944958,60.264
33.6,0.162028744,60.48
33.72,0.165239015,60.696
33.84,0.168285611,60.912
33.96,0.17119143,61.128
34.08,0.174118667,61.344
34.2,0.177176034,61.56
34.32,0.180345363,61.776
34.44,0.183537288,61.992
34.56,0.186254462,62.208
34.68,0.189320194,62.424
34.8,0.192524689,62.64
34.92,0.195634996,62.856
35.04,0.198522667,63.072
35.16,0.201343294,63.288
35.28,0.204227617,63.504
35.4,0.207137592,63.72
35.52,0.210185032,63.936
35.64,0.212870663,64.152
35.76,0.215724954,64.368
35.88,0.218730484,64.584
36,0.221686294,64.8
36.12,0.224398394,65.016
36.24,0.227031091,65.232
36.36,0.229619444,65.448
36.48,0.232246391,65.664
36.6,0.234911742,65.88
36.72,0.236962817,66.096
36.84,0.238484862,66.312
36.96,0.239687944,66.528
37.08,0.240628941,66.744
37.2,0.241227222,66.96
37.32,0.241560818,67.176
37.44,0.241684367,67.392
37.56,0.241627167,67.608
37.68,0.241419301,67.824
37.8,0.241048605,68.04
37.92,0.240410604,68.256
38.04,0.239475079,68.472
38.16,0.238147739,68.688
38.28,0.236723872,68.904
38.4,0.234702469,69.12
38.52,0.231824522,69.336
38.64,0.229047203,69.552
38.76,0.226434061,69.768
38.88,0.223907777,69.984
39,0.221185681,70.2
39.12,0.21831038,70.416
39.24,0.215296497,70.632
39.36,0.212599874,70.848
39.48,0.210040073,71.064
39.6,0.20687642,71.28
39.72,0.203693684,71.496
39.84,0.200791387,71.712
39.96,0.19800367,71.928
40.08,0.19513249,72.144
40.2,0.192081268,72.36
40.32,0.188892505,72.576
40.44,0.1859109,72.792
40.56,0.183308115,73.008
40.68,0.180024132,73.224
40.8,0.176543129,73.44
40.92,0.173490831,73.656
41.04,0.170634923,73.872
41.16,0.167801152,74.088
41.28,0.164774548,74.304
41.4,0.161581354,74.52
41.52,0.158453263,74.736
41.64,0.155737728,74.952
41.76,0.15256467,75.168
41.88,0.148940797,75.384
42,0.14571473,75.6
42.12,0.142757242,75.816
42.24,0.139869799,76.032
42.36,0.136795333,76.248
42.48,0.133586725,76.464
42.6,0.130310263,76.68
42.72,0.127436274,76.896
42.84,0.124475222,77.112
42.96,0.120947337,77.328
43.08,0.117575582,77.544
43.2,0.11446101,77.76
43.32,0.11149598,77.976
43.44,0.10843281,78.192
43.56,0.105213859,78.408
43.68,0.101852732,78.624
43.8,0.098838157,78.84
43.92,0.09595974,79.056
44.04,0.092347203,79.272
44.16,0.088763912,79.488
44.28,0.08558146,79.704
44.4,0.082570933,79.92
44.52,0.079587993,80.136
44.64,0.076381868,80.352
44.76,0.073021234,80.568
44.88,0.069812196,80.784
45,0.066979996,81
45.12,0.063447933,81.216
45.24,0.05980557,81.432
45.36,0.056604387,81.648
45.48,0.053547816,81.864
45.6,0.050499807,82.08
45.72,0.047225832,82.296
45.84,0.043782619,82.512
45.96,0.040377892,82.728
46.08,0.037461334,82.944
46.2,0.034543202,83.16
46.32,0.031664052,83.376
46.44,0.029267693,83.592
46.56,0.027434495,83.808
46.68,0.026001207,84.024
46.8,0.024824617,84.24
47,,
