Time [ms],FluxLinkage(PhaseA) [],Moving1.Position []
20,0.134047905,0.628318531
20.1,0.128274161,0.631460123
20.2,0.122479742,0.634601716
20.3,0.116976886,0.637743309
20.4,0.111651958,0.640884901
20.5,0.106470316,0.644026494
20.6,0.10119612,0.647168087
20.7,0.095735326,0.650309679
20.8,0.089906805,0.653451272
20.9,0.084248336,0.656592865
21,0.078795775,0.659734457
21.1,0.07390262,0.66287605
21.2,0.068833227,0.666017643
21.3,0.064360053,0.669159235
21.4,0.060627373,0.672300828
21.5,0.056963041,0.675442421
21.6,0.053962056,0.678584013
21.7,0.051624764,0.681725606
21.8,0.049663251,0.684867198
21.9,0.047991605,0.688008791
22,0.046521725,0.691150384
22.1,0.045242073,0.694291976
22.2,0.044152048,0.697433569
22.3,0.043172388,0.700575162
22.4,0.042320751,0.703716754
22.5,0.041595294,0.706858347
22.6,0.040807364,0.70999994
22.7,0.040143211,0.713141532
22.8,0.039561456,0.716283125
22.9,0.039024862,0.719424718
23,0.038544897,0.72256631
23.1,0.038092886,0.725707903
23.2,0.037666649,0.728849496
23.3,0.037280716,0.731991088
23.4,0.036930594,0.735132681
23.5,0.036613581,0.738274274
23.6,0.036334892,0.741415866
23.7,0.036053238,0.744557459
23.8,0.035805762,0.747699052
23.9,0.035592453,0.750840644
24,0.035397084,0.753982237
24.1,0.035228799,0.75712383
24.2,0.035076538,0.760265422
24.3,0.0349404,0.763407015
24.4,0.034824175,0.766548607
24.5,0.034727622,0.7696902
24.6,0.034650389,0.772831793
24.7,0.034594077,0.775973385
24.8,0.034544887,0.779114978
24.9,0.034513356,0.782256571
25,0.034507215,0.785398163
25.1,0.034513857,0.788539756
25.2,0.034546058,0.791681349
25.3,0.034596153,0.794822941
25.4,0.034652502,0.797964534
25.5,0.034730099,0.801106127
25.6,0.034827342,0.804247719
25.7,0.034944193,0.807389312
25.8,0.035080735,0.810530905
25.9,0.035233624,0.813672497
26,0.035402555,0.81681409
26.1,0.035598682,0.819955683
26.2,0.035812844,0.823097275
26.3,0.036061619,0.826238868
26.4,0.036345485,0.829380461
26.5,0.036624317,0.832522053
26.6,0.036942214,0.835663646
26.7,0.037293786,0.838805239
26.8,0.037681631,0.841946831
26.9,0.038109608,0.845088424
27,0.038563136,0.848230016
27.1,0.039044844,0.851371609
27.2,0.03958408,0.854513202
27.3,0.040168337,0.857654794
27.4,0.040837535,0.860796387
27.5,0.041637345,0.86393798
27.6,0.042360978,0.867079572
27.7,0.043216617,0.870221165
27.8,0.044205616,0.873362758
27.9,0.045311354,0.87650435
28,0.046613569,0.879645943
