Time [ms],FluxLinkage(PhaseA) [Wb]
5,0.10470254
5.1,0.100561118
5.2,0.097043267
5.3,0.093991283
5.4,0.091290214
5.5,0.088990795
5.6,0.086974758
5.7,0.08518
5.8,0.083649458
5.9,0.082110189
6,0.080705303
6.1,0.079503856
6.2,0.07839404
6.3,0.077398629
6.4,0.07649169
6.5,0.075607604
6.6,0.074809311
6.7,0.074088462
6.8,0.073432225
6.9,0.072847002
7,0.072292288
7.1,0.071767926
7.2,0.071322072
7.3,0.070917724
7.4,0.070563224
7.5,0.070255967
7.6,0.069965735
7.7,0.06972219
7.8,0.069516123
7.9,0.069350103
8,0.069220869
8.1,0.069122292
8.2,0.069041738
8.3,0.069012465
8.4,0.069017353
8.5,0.069064191
8.6,0.069160969
8.7,0.069261725
8.8,0.06940532
8.9,0.069586868
9,0.069809371
9.1,0.070065185
9.2,0.070363646
9.3,0.070686237
9.4,0.071059661
9.5,0.071476462
9.6,0.071947898
9.7,0.07250053
9.8,0.073053454
9.9,0.073666897
10,0.074350636
10.1,0.07509665
10.2,0.075924108
10.3,0.076826404
10.4,0.077757625
10.5,0.078794783
10.6,0.079935219
10.7,0.081203556
10.8,0.082707903
10.9,0.084213
11,0.085833976
11.1,0.08773865
11.2,0.089844332
11.3,0.092310227
11.4,0.095193411
11.5,0.098437508
11.6,0.102248319
11.7,0.106772573
11.8,0.112482232
11.9,0.11969782
12,0.127343773
12.1,0.135919619
12.2,0.145962182
12.3,0.155878293
12.4,0.16660925
12.5,0.177846676
12.6,0.189498075
12.7,0.200612607
12.8,0.211004856
12.9,0.221374207
13,0.231816204
13.1,0.242959507
13.2,0.254341702
13.3,0.265880648
13.4,0.276118669
13.5,0.28643137
13.6,0.297205166
13.7,0.308459436
13.8,0.319428018
13.9,0.329737192
14,0.33995327
14.1,0.350466687
14.2,0.361351942
14.3,0.372549894
14.4,0.384027493
14.5,0.394389421
14.6,0.404533671
14.7,0.415262407
14.8,0.426449953
14.9,0.437467669
15,0.447717573
15.1,0.457936216
15.2,0.468218673
15.3,0.478926693
15.4,0.489675477
15.5,0.500740012
15.6,0.511085458
15.7,0.521056879
15.8,0.531712618
15.9,0.542701029
16,0.55357815
16.1,0.563814843
16.2,0.573953128
16.3,0.584136217
16.4,0.594768611
16.5,0.60559316
16.6,0.616787608
16.7,0.627304232
16.8,0.636929451
16.9,0.647280154
17,0.657981263
17.1,0.668727219
17.2,0.678798345
17.3,0.68866028
17.4,0.698587189
17.5,0.708943659
17.6,0.71949496
17.7,0.730462064
17.8,0.740833928
17.9,0.75000373
18,0.760288941
18.1,0.771114037
18.2,0.782001925
18.3,0.792089382
18.4,0.801852817
18.5,0.811433492
18.6,0.821270155
18.7,0.831099618
18.8,0.84138054
18.9,0.851480016
19,0.860271891
19.1,0.870249071
19.2,0.880532119
19.3,0.890773164
19.4,0.900363224
19.5,0.909437301
19.6,0.918298177
19.7,0.927075332
19.8,0.93599152
19.9,0.945206189
20,0.953250437
20.1,0.958803017
20.2,0.963959419
20.3,0.967932962
20.4,0.971199613
20.5,0.973554637
20.6,0.974884484
20.7,0.975679064
20.8,0.975894502
20.9,0.975622569
21,0.974781887
21.1,0.973714622
21.2,0.971994527
21.3,0.969473807
21.4,0.965700125
21.5,0.961082779
21.6,0.956248596
21.7,0.950064017
21.8,0.940935176
21.9,0.930781464
22,0.921604724
22.1,0.912848392
22.2,0.904335126
22.3,0.895295627
22.4,0.885620313
22.5,0.875410595
22.6,0.865265977
22.7,0.856269741
22.8,0.847619132
22.9,0.837028423
23,0.825652013
23.1,0.81559848
23.2,0.805893322
23.3,0.796529772
23.4,0.786817847
23.5,0.776513934
23.6,0.765810219
23.7,0.755112912
23.8,0.745574126
23.9,0.736649342
24,0.725347053
24.1,0.713318239
24.2,0.70266993
24.3,0.692744192
24.4,0.683260027
24.5,0.673597824
24.6,0.663331774
24.7,0.652657281
24.8,0.641748617
24.9,0.631827518
25,0.622784622
