"Time [ms]","FluxLinkage(PhaseA) [Wb]"
5,0.261775591749034
5.1,0.251416795830337
5.2,0.242618294804664
5.3,0.234985558831009
5.4,0.228230916280214
5.5,0.222481120945847
5.6,0.217440234860962
5.7,0.212952782401539
5.8,0.209126073334723
5.9,0.20527755879238
6,0.20176509339953
6.1,0.19876130366778
6.2,0.195986630644335
6.3,0.193497996334952
6.4,0.19123056436685
6.5,0.189020269271335
6.6,0.187024469588576
6.7,0.185222291631424
6.8,0.18358165119482
6.9,0.182118552371956
7,0.180731730840115
7.1,0.1794207901136
7.2,0.178306126623865
7.3,0.177295231446792
7.4,0.176408960054335
7.5,0.175640799674847
7.6,0.174915203334775
7.7,0.174306326604176
7.8,0.173791147888439
7.9,0.173376086938956
8,0.173052995533512
8.1,0.172806546638018
8.2,0.172605157173736
8.3,0.172531974399361
8.4,0.172544195117827
8.5,0.172661292108563
8.6,0.172903243329939
8.7,0.173155138680799
8.8,0.173514134417798
8.9,0.1739680135217
9,0.174524285357166
9.1,0.175163834653208
9.2,0.175910004505776
9.3,0.176716501623999
9.4,0.17765008368965
9.5,0.178692112661519
9.6,0.179870733389609
9.7,0.181252351736269
9.8,0.182634699901214
9.9,0.184168352357543
10,0.18587775272458
10.1,0.187742848129958
10.2,0.189811570196633
10.3,0.192067404190317
10.4,0.194395556550511
10.5,0.196988578940657
10.6,0.19983983267216
10.7,0.203010889812585
10.8,0.206772075985165
10.9,0.210535180806298
11,0.214588060602594
11.1,0.219350425599662
11.2,0.224615588815263
11.3,0.230781918303115
11.4,0.237992187991577
11.5,0.246105555490385
11.6,0.255636932417399
11.7,0.266953133134761
11.8,0.28123010446259
11.9,0.299203826136693
12,0.317978595532108
12.1,0.338348704768049
12.2,0.36110942631898
12.3,0.384076618724312
12.4,0.407542490941492
12.5,0.431304469100214
12.6,0.455021069121039
12.7,0.478020705900887
12.8,0.500583715379048
12.9,0.523534101284909
13,0.547025374003124
13.1,0.571132841598971
13.2,0.595191356963432
13.3,0.61942154407288
13.4,0.643178130477151
13.5,0.666666656132954
13.6,0.690125019897663
13.7,0.713842919079631
13.8,0.737178953366808
13.9,0.759875404450184
14,0.782771588633923
14.1,0.806102964615914
14.2,0.829739796208538
14.3,0.853433042307654
14.4,0.877339047180421
14.5,0.900994959225165
14.6,0.924358276902755
14.7,0.947673345381939
14.8,0.971255961003232
14.9,0.994597221754966
15,1.01724785693858
15.1,1.03987620300191
15.2,1.06271827169335
15.3,1.08587558682572
15.4,1.10891679953782
15.5,1.13220366088277
15.6,1.15531004332191
15.7,1.17806818078736
15.8,1.20094826672689
15.9,1.22409141763919
16,1.24708441993888
16.1,1.26951502508454
16.2,1.29185235742372
16.3,1.31440929419242
16.4,1.33726625464796
16.5,1.36015994519827
16.6,1.38316896514218
16.7,1.40593250552413
16.8,1.42801839816535
16.9,1.45009856378627
17,1.47225162789457
17.1,1.49426588905092
17.2,1.51570258966357
17.3,1.53690118575769
17.4,1.55811695975498
17.5,1.57939548488418
17.6,1.60040943499447
17.7,1.62122434347608
17.8,1.64145463124662
17.9,1.6607796719876
18,1.67990189870717
18.1,1.69872250111225
18.2,1.71690514775913
18.3,1.73378713882552
18.4,1.74958839194742
18.5,1.76449623892663
18.6,1.77876629193916
18.7,1.79219886731858
18.8,1.80511184857329
18.9,1.81735036779685
19,1.82839661507256
19.1,1.83914339590656
19.2,1.84950829596405
19.3,1.85932464375095
19.4,1.8683403592256
19.5,1.87660906558259
19.6,1.88432171323369
19.7,1.89157904684693
19.8,1.8985230283827
19.9,1.90516145702959
20,1.9108856998113
20.1,1.91515844347948
20.2,1.91886937901326
20.3,1.92174994182992
20.4,1.92402872086662
20.5,1.92566395159489
20.6,1.92665218030892
20.7,1.92725009523246
20.8,1.92745570471976
20.9,1.92730238950296
21,1.92678216844939
21.1,1.92598703155437
21.2,1.92473814510306
21.3,1.9229407439371
21.4,1.92034032736616
21.5,1.9170960030956
21.6,1.91343561932496
21.7,1.90870016633659
21.8,1.90234026843638
21.9,1.89521761914281
22,1.8880241472166
22.1,1.88059039066611
22.2,1.87284456009395
22.3,1.86434939454787
22.4,1.85507820634747
22.5,1.84505153542996
22.6,1.83454102398109
22.7,1.82399744796251
22.8,1.81288616394992
22.9,1.8001936457481
23,1.78649030674791
23.1,1.77265612837427
23.2,1.75824938629197
23.3,1.74322317824738
23.4,1.72708323430597
23.5,1.70971485372751
23.6,1.69131516246624
23.7,1.67228593110759
23.8,1.65329162290734
23.9,1.63401923745384
24,1.61328227701498
24.1,1.59174595666044
24.2,1.57032719359353
24.3,1.54921638539821
24.4,1.52837553978186
24.5,1.50725371242694
24.6,1.48559365603173
24.7,1.46360545856532
24.8,1.44132518429157
24.9,1.41936994739604
25,1.3975440580449
