Time [ms],FluxLinkage(PhaseA) [Wb],"L(PhaseA,PhaseA) [mH]",Moving1.Torque [mNewtonMeter]
0,0.029676865,29.6768679,0.017138291
0.1,0.029686387,29.68638696,2.445366865
0.2,0.029709323,29.70932291,5.069065176
0.3,0.029750943,29.75094309,7.61398586
0.4,0.029805064,29.80506424,9.914804261
0.5,0.029875171,29.87517118,12.05441013
0.6,0.029958528,29.95852766,14.42378806
0.7,0.03005587,30.05586972,17.12947033
0.8,0.030172993,30.1729933,19.63997383
0.9,0.030302457,30.30245747,22.21465041
1,0.030452004,30.45200416,25.05941104
1.1,0.030615809,30.6158086,27.99081367
1.2,0.030803835,30.80383544,31.36097166
1.3,0.031012295,31.01229477,35.12171145
1.4,0.031246345,31.24634458,38.94543267
1.5,0.031502245,31.50224541,42.41537373
1.6,0.031777958,31.77795794,45.667824
1.7,0.032078462,32.07846177,49.76793544
1.8,0.032407448,32.407448,55.30320328
1.9,0.032769768,32.76976842,60.13058936
2,0.033160319,33.16031899,64.8002191
2.1,0.033585346,33.58534583,70.26044214
2.2,0.034040492,34.04049184,76.2938773
2.3,0.034546156,34.54615582,83.9265572
2.4,0.035104931,35.10493058,93.64164099
2.5,0.035728214,35.72821409,104.7637669
2.6,0.036425612,36.42561245,116.7598804
2.7,0.037188312,37.18831217,126.9827279
2.8,0.038030122,38.03012184,139.8060987
2.9,0.038973492,38.97349187,163.5423534
3,0.04008148,40.08148039,190.4891274
3.1,0.041364025,41.36402506,219.3868523
3.2,0.042842323,42.84232274,252.1655821
3.3,0.044542948,44.54294848,293.3388795
3.4,0.046562701,46.56270135,350.4226123
3.5,0.048998761,48.99876071,428.3935869
3.6,0.052041109,52.04110903,534.8066726
3.7,0.055724603,55.72460377,653.2596827
3.8,0.060012596,60.01259433,697.4703906
3.9,0.064359398,64.35939509,637.0265928
4,0.068411215,68.41121366,701.9218512
4.1,0.073092635,73.09264238,783.7794655
4.2,0.078090229,78.09023777,806.3610276
4.3,0.082967214,82.96721508,775.3423283
4.4,0.087731171,87.73116461,735.275728
4.5,0.092178878,92.17887341,704.8944415
4.6,0.096497449,96.49744247,695.7373561
4.7,0.101020408,101.020405,734.888748
4.8,0.105843723,105.8437246,827.6890045
4.9,0.111203043,111.2030412,853.4025361
5,0.116182082,116.1820813,668.2904426
5.1,0.120200888,120.2008905,666.7393848
5.2,0.124567075,124.5670873,740.2824321
5.3,0.129332888,129.3328986,771.3258162
5.4,0.134050096,134.0500846,749.3993703
5.5,0.138645143,138.6451002,709.6528006
5.6,0.142940937,142.940876,687.0912359
5.7,0.147227321,147.2272691,690.6065556
5.8,0.151687552,151.6875095,726.9762497
5.9,0.156440605,156.4405675,824.2109387
6,0.161817327,161.8173205,874.7712416
6.1,0.166945907,166.9459359,681.708081
6.2,0.171019325,171.019344,660.9593813
6.3,0.175283766,175.2837632,732.6982072
6.4,0.180037248,180.0372423,774.0530827
6.5,0.184810081,184.8100853,753.9819267
6.6,0.189401727,189.4017286,713.3974955
6.7,0.193725953,193.725979,686.8672549
6.8,0.197953971,197.9540049,676.6133157
6.9,0.202308916,202.3089281,699.5829254
7,0.206878162,206.8781483,777.7997451
7.1,0.212020425,212.0204088,814.5083024
7.2,0.216888321,216.8882715,671.1318894
7.3,0.220931379,220.9313482,649.575417
7.4,0.225130788,225.1307921,721.1447452
7.5,0.229816685,229.8167113,764.0746674
7.6,0.234556809,234.5568222,748.5497691
7.7,0.239083421,239.083423,710.3032842
7.8,0.243377341,243.3773562,681.2879629
7.9,0.247495094,247.4951245,660.6607489
8,0.25174844,251.7484862,681.7943216
8.1,0.256345256,256.3453238,778.1673602
8.2,0.261516441,261.5165416,828.6177849
8.3,0.266493072,266.4930952,685.429784
8.4,0.270525255,270.5251933,625.982882
8.5,0.274502329,274.5021871,685.0581411
8.6,0.27898956,278.9893428,735.8340556
8.7,0.283580194,283.579896,726.7717343
8.8,0.287971571,287.9711768,692.1229499
8.9,0.292150187,292.1497023,663.4421884
9,0.296162284,296.161742,640.2467639
9.1,0.300328846,300.3282768,665.0561882
9.2,0.30479737,304.7968184,757.9114675
9.3,0.309834211,309.8337383,814.4142081
9.4,0.314780942,314.7805001,695.411417
9.5,0.318819582,318.819216,610.8719436
9.6,0.322647161,322.6468936,664.3902184
9.7,0.327041829,327.0416572,727.5980724
9.8,0.331605261,331.605206,725.4384642
9.9,0.33598397,335.9840964,691.50923
10,0.34015306,340.1534341,657.9411477
10.1,0.344169556,344.1702069,632.398495
10.2,0.348225036,348.225959,640.5096175
10.3,0.352438257,352.4394291,702.0107679
10.4,0.357051493,357.0528956,748.7288623
10.5,0.361657517,361.6590703,665.511555
10.6,0.365545705,365.5473377,575.8786076
10.7,0.369157756,369.159412,625.6418992
10.8,0.373309579,373.3112258,688.9663292
10.9,0.377642202,377.6438008,689.0829395
11,0.381766108,381.7676284,652.634846
11.1,0.385737997,385.7394052,615.6998296
11.2,0.389456684,389.4579597,581.8250405
11.3,0.393154261,393.1553905,579.815787
11.4,0.396941631,396.9426311,627.7861818
11.5,0.401031081,401.0319791,664.3370422
11.6,0.405074259,405.0750615,563.7747536
11.7,0.40804208,408.0428154,375.4820186
11.8,0.41005255,410.0532571,314.1164569
11.9,0.411894048,411.8947205,293.831733
12,0.413548758,413.5494227,229.1626579
12.1,0.414660605,414.6612614,152.9227376
12.2,0.415505276,415.5059142,99.2157295
12.3,0.416058203,416.0588322,62.79892006
12.4,0.416364378,416.3649969,30.76710007
12.5,0.416465712,416.466325,1.479295065
