Time [ms],FluxLinkage(PhaseA) [Wb],"L(PhaseA,PhaseA) [mH]",Moving1.Torque [NewtonMeter]
0,0.148384668,29.67700502,0.000428465
0.1,0.148432622,29.68652432,0.061134819
0.2,0.148547304,29.70946077,0.126728007
0.3,0.148755409,29.75108187,0.190351752
0.4,0.149026021,29.80520423,0.247872868
0.5,0.149376564,29.87531273,0.301363598
0.6,0.149793355,29.95867107,0.360598744
0.7,0.150280077,30.05601533,0.428241662
0.8,0.150865708,30.17314161,0.491005043
0.9,0.151513044,30.3026088,0.555372793
1,0.152260795,30.45215904,0.626492802
1.1,0.153079837,30.61596746,0.699778939
1.2,0.154019995,30.80399902,0.784034227
1.3,0.155062319,31.01246375,0.878054355
1.4,0.156232599,31.24651987,0.973649169
1.5,0.157512139,31.50242784,1.060399397
1.6,0.158890742,31.77814832,1.141712317
1.7,0.160393306,32.07866113,1.244217454
1.8,0.162038289,32.40765784,1.382602651
1.9,0.163849953,32.76999053,1.503290622
2,0.165802777,33.16055535,1.620034929
2.1,0.167927997,33.58559933,1.756545252
2.2,0.170203828,34.04076569,1.907387247
2.3,0.172732279,34.54645587,2.098213016
2.4,0.17552632,35.10526391,2.341103553
2.5,0.178642959,35.72859187,2.619176253
2.6,0.182130263,36.42605257,2.919108683
2.7,0.185944158,37.18883259,3.174709266
2.8,0.190153747,38.03074978,3.495345678
2.9,0.194871413,38.97428277,4.08888
3,0.200412682,40.08253693,4.762753347
3.1,0.206827411,41.36548232,5.485497624
3.2,0.214221711,42.84434502,6.305383806
3.3,0.222728771,44.5457525,7.335379691
3.4,0.232832957,46.56658957,8.76352032
3.5,0.245019638,49.0038903,10.71415628
3.6,0.260222005,52.04384228,13.37139014
3.7,0.27840897,55.68095271,16.2711031
3.8,0.298852933,59.75897794,17.27605266
3.9,0.319441749,63.88863121,15.91117065
4,0.339179429,67.83618123,17.38440972
4.1,0.360580385,72.11430311,19.18785721
4.2,0.382635635,76.53412257,19.64151402
4.3,0.404180698,80.82981682,18.90900532
4.4,0.42515088,85.01376563,17.96592699
4.5,0.445278529,89.02009948,17.29167002
4.6,0.465331177,93.02101717,17.19811977
4.7,0.486409422,97.26579205,18.15386318
4.8,0.50835238,101.6746434,20.15828431
4.9,0.531328879,106.2498752,20.64450635
5,0.553575536,110.7199283,17.10454346
5.1,0.574034063,114.8156124,16.69275471
5.2,0.594761484,118.950494,18.20360752
5.3,0.616173331,123.2250645,18.87377554
5.4,0.637432703,127.4682412,18.38831307
5.5,0.658309484,131.6459463,17.51805763
5.6,0.678480541,135.6887073,17.02089242
5.7,0.698558572,139.7140459,17.10696301
5.8,0.719384837,143.8792891,17.98706529
5.9,0.741085509,148.2231407,20.04697068
6,0.76376668,152.7424935,20.97051922
6.1,0.785980707,157.2108905,17.39312856
6.2,0.806536986,161.3247924,16.62655645
6.3,0.827155496,165.4279361,18.09957903
6.4,0.848495098,169.6945036,18.94631717
6.5,0.869771557,173.950162,18.50514631
6.6,0.890608874,178.1115298,17.64742947
6.7,0.910890328,182.1612779,17.05941173
6.8,0.930838838,186.142104,16.82369958
6.9,0.951151864,190.2097202,17.35640554
7,0.972054401,194.4051013,19.06132897
7.1,0.994101234,198.7971691,19.76666239
7.2,1.015733459,203.0878844,17.04280006
7.3,1.035833895,207.1177935,16.34602926
7.4,1.05590528,211.1493814,17.81302788
7.5,1.076786522,215.3394987,18.70953186
7.6,1.097746669,219.5340256,18.38030313
7.7,1.118293782,223.6318219,17.57631641
7.8,1.138328088,227.6376744,16.94244906
7.9,1.157977527,231.5735234,16.50497296
8,1.17801367,235.5855599,17.01625574
8.1,1.198884569,239.7790126,19.05841096
8.2,1.220655887,244.1251657,19.97584953
8.3,1.241966577,248.3953864,17.32194672
8.4,1.261811286,252.3691548,15.85747295
8.5,1.281197755,256.2389253,17.00387475
8.6,1.301267069,260.2441825,18.0230975
8.7,1.321368234,264.2466122,17.80997324
8.8,1.34100051,268.1673004,17.0760379
8.9,1.360126585,272.0009371,16.4318062
9,1.37881718,275.740096,15.93462738
9.1,1.397875857,279.5557823,16.50567831
9.2,1.417532927,283.4966515,18.42030713
9.3,1.437846109,287.5506821,19.42918261
9.4,1.457626314,291.5062959,17.2415059
9.5,1.475922783,295.1809833,15.32931669
9.6,1.493361735,298.6633549,16.28948123
9.7,1.511078526,302.2083399,17.47363942
9.8,1.528504015,305.695234,17.325162
9.9,1.545095552,309.0187378,16.49750325
10,1.560810212,312.1609029,15.66294396
10.1,1.575609863,315.1195897,14.98940098
10.2,1.589947482,317.9835826,15.04790154
10.3,1.603980362,320.7810384,16.16510077
10.4,1.61790891,323.5612843,16.86704954
10.5,1.631108336,326.2025266,15.15046419
10.6,1.642742185,328.523109,13.11844424
10.7,1.653185029,330.6161145,13.84933712
10.8,1.663700341,332.7229184,14.8751251
10.9,1.673886685,334.7631622,14.65378766
11,1.683259479,336.6383941,13.71762555
11.1,1.691891593,338.3668236,12.78250144
11.2,1.69970557,339.9327524,11.91467824
11.3,1.707063799,341.4043687,11.67288497
11.4,1.714098856,342.8116252,12.32519274
11.5,1.721005768,344.188334,12.71903784
11.6,1.72745708,345.478863,10.77290276
11.7,1.732458813,346.4893657,7.192906435
11.8,1.736002201,347.1931343,5.929020331
11.9,1.739032627,347.7970085,5.466176191
12,1.74160656,348.3139583,4.237715868
12.1,1.74337113,348.6694315,2.828438651
12.2,1.744679291,348.9298945,1.838602306
12.3,1.745541762,349.1025632,1.162036814
12.4,1.746022493,349.1994415,0.567868638
12.5,1.746180569,349.2307598,0.023979298
