"Time [ms]","FluxLinkage(PhaseA) [Wb]","L(PhaseA,PhaseA) [mH]","Moving1.Torque [NewtonMeter]"
0,0.23741636007569,29.6772345893898,0.00109690332800052
0.1,0.237494030890924,29.6867551725658,0.156508046728782
0.2,0.237677531866785,29.7096927891644,0.324429836107556
0.3,0.238010518259563,29.7513160352107,0.487309959525248
0.4,0.238443520108116,29.8054412225593,0.634567138430015
0.5,0.239004418477778,29.8755534745663,0.771506221837531
0.6,0.239671320489938,29.9589161066579,0.923151563626664
0.7,0.240450117860471,30.0562655765884,1.09632169854867
0.8,0.241387180839304,30.1733981968204,1.25699993752285
0.9,0.242422977725812,30.3028725386979,1.42178569314692
1,0.24361945123168,30.4524314366726,1.60385843646936
1.1,0.244929999877188,30.6162496736019,1.79147670527022
1.2,0.246434351478099,30.8042931975603,2.00717783217524
1.3,0.248102185605162,31.0127719415631,2.24787932906593
1.4,0.249974774789123,31.2468449764449,2.49261335207594
1.5,0.252022202268538,31.502772632917,2.71470517828175
1.6,0.254228153175822,31.7785155091902,2.92287800954775
1.7,0.256632472213003,32.0790544879258,3.18530973001832
1.8,0.259264720420739,32.408084952167,3.53960596353013
1.9,0.262163714344185,32.7704584834501,3.84859497401819
2,0.265288629751438,33.1610720151012,4.14749111858982
2.1,0.268689455061,33.5861748570254,4.49699954747779
2.2,0.272331343322215,34.0414103646648,4.88321258300672
2.3,0.276377581242848,34.5471892782662,5.37180870027228
2.4,0.280848943589761,35.1061106115334,5.99373701437549
2.5,0.285836721412236,35.7295844929194,6.70577989812809
2.6,0.291417875994879,36.4272301168575,7.47383018953511
2.7,0.297521914116202,37.1902356391506,8.12838040237649
2.8,0.304259428724706,38.0324257951422,8.9495139126077
2.9,0.311810251789008,38.9762838144579,10.4695370637251
3,0.320679327505843,40.0849226481374,12.1952755990973
3.1,0.330945641995342,41.3682164012941,14.0459291297499
3.2,0.342775927366548,42.8469722256418,16.1443382213443
3.3,0.356360177415104,44.5448708204186,18.7729174014225
3.4,0.372353585137142,46.5436285588373,22.3732238300543
3.5,0.390915083662523,48.8642205641466,27.025916920795
3.6,0.411479895497411,51.4330942449908,32.3050269851983
3.7,0.432745814311796,54.1036998077249,36.76562555894
3.8,0.454658162368579,56.8149881551636,38.0132316131659
3.9,0.477391805494122,59.646233951544,36.7221017188157
4,0.499947210225471,62.5004874495525,38.6818624479532
4.1,0.522492299030491,65.3300090971409,40.609978551174
4.2,0.54493780784325,68.0959409801978,40.8993996791255
4.3,0.567269460166604,70.8804615050254,39.925203333472
4.4,0.589741724203488,73.6862399459856,38.8366800033057
4.5,0.612357979475005,76.5509132289448,38.1880739785575
4.6,0.635323418769988,79.4558960918428,38.4845090830543
4.7,0.658676570057462,82.3966541404503,40.0910260216992
4.8,0.682082850717718,85.3330112597642,42.645083585649
4.9,0.7052774564756,88.2263323423699,42.744694648483
5,0.728660974845689,91.1381750906028,38.8524790882066
5.1,0.752040601662143,94.0691841653883,38.4295900557985
5.2,0.775722123894487,97.0176149960291,39.9993245483147
5.3,0.799150399892393,99.9265572878602,40.6514833236327
5.4,0.822383802556078,102.833941204141,39.8850210329787
5.5,0.845578342407361,105.747548821559,38.7917389069426
5.6,0.868792711609874,108.669674363389,38.1793912329838
5.7,0.892133460257388,111.592840183816,38.4316648995437
5.8,0.91589050524846,114.548075203853,39.9543408549752
5.9,0.939838543312452,117.525199126072,42.5854889120838
6,0.963413853475578,120.482589165589,43.0833108804193
6.1,0.986866295461282,123.416923214991,39.0226878267854
6.2,1.01040374573013,126.337359067126,38.2465330792559
6.3,1.03412516004928,129.278310019374,39.8541755675767
6.4,1.05763062917777,132.203904283472,40.6370963170682
6.5,1.08088616169183,135.118149004515,39.900322626237
6.6,1.10405186394502,138.008454331127,38.8305143208654
6.7,1.12720144354996,140.887828460736,38.0646981829796
6.8,1.15029405727421,143.761767909319,37.750865861502
6.9,1.17358316993256,146.664842580538,38.6466731368428
7,1.19710537421988,149.593407229422,40.9832581384769
7.1,1.22053339587239,152.486773121914,41.5175966651672
7.2,1.24371620644237,155.371793233342,38.3376000138925
7.3,1.2668046942136,158.291447368788,37.4601175626874
7.4,1.2900246896532,161.22620318535,39.0381196519911
7.5,1.31309028076343,164.123231686133,39.946559549959
7.6,1.33593401208063,166.978950398123,39.3961739316138
7.7,1.35862554341502,169.818713540554,38.3502376967152
7.8,1.38121416433122,172.66277743554,37.5352001866785
7.9,1.40378447408963,175.486536715134,37.024956698609
8,1.42647248415081,178.327947566711,37.9054602725558
8.1,1.44938450269132,181.184492002181,40.5286443090243
8.2,1.47202997083682,183.972062230925,41.1691917333065
8.3,1.49401344449705,186.726426487291,37.912352118256
8.4,1.51566636770963,189.443916941886,36.0814783610803
8.5,1.53723864944926,192.12292342981,37.1472346763508
8.6,1.55846954593264,194.759835897233,38.0502028197431
8.7,1.57918966383788,197.337163222401,37.483036824076
8.8,1.59936951990236,199.864884467515,36.3017288959348
8.9,1.6189933137345,202.34288405723,35.1991751836447
9,1.63809936021715,204.742334965704,34.3069441025572
9.1,1.65694945710311,207.090710947735,34.9302478499543
9.2,1.67551879592737,209.401817396336,36.9484929739757
9.3,1.69354791679714,211.662917119242,37.458040806247
9.4,1.71086422018294,213.816930670847,34.461010635532
9.5,1.72768297687061,215.931827706275,31.8430509120323
9.6,1.7441665200333,217.998437993198,32.3664266568329
9.7,1.76021038077221,220.021370764402,33.1573950393265
9.8,1.77571192796449,221.968245313463,32.3967074375241
9.9,1.79063255565819,223.827185975488,30.8012468670349
10,1.80494314694818,225.612472146021,29.2031852368234
10.1,1.8186178808624,227.321200114484,27.8175458746644
10.2,1.83180396967471,228.96243310845,27.481097168066
10.3,1.84445221075427,230.530626512082,28.4122136286786
10.4,1.85641189892582,232.014106660628,28.6678927971192
10.5,1.8674434967414,233.395251655839,26.1163689739998
10.6,1.87741944437562,234.64944994994,23.0675168137629
