"Time [ms]","FluxLinkage(PhaseA) [Wb]","L(PhaseA,PhaseA) [mH]","Moving1.Torque [NewtonMeter]"
0,0.0575061924721135,28.7531091031618,6.64194331585237E-005
0.1,0.057524663757903,28.7623318790448,0.00947700604598382
0.2,0.0575691079111426,28.7845539556788,0.0196451354767466
0.3,0.0576497574442031,28.824878722226,0.0295079630748905
0.4,0.0577546307414301,28.877315370853,0.0384247734129465
0.5,0.0578904805135411,28.9452402569163,0.0467168047801278
0.6,0.0580520046114695,29.0260023058806,0.0558993177857457
0.7,0.0582406292624333,29.1203146313972,0.0663851781619604
0.8,0.0584675855816538,29.2337927910276,0.0761146239088891
0.9,0.0587184549260098,29.3592274632351,0.0860927726659755
1,0.0590082391945935,29.504119597561,0.0971176327419331
1.1,0.0593256514594941,29.6628257300645,0.108478274694229
1.2,0.059690000772627,29.8450003867063,0.121539314255987
1.3,0.0600939432123482,30.0469716066467,0.136114055956763
1.4,0.0605474737223172,30.2737368617961,0.150932884996634
1.5,0.061043346158076,30.5216730797463,0.164380641244259
1.6,0.0615776088520671,30.7888044268035,0.176985513540335
1.7,0.062159911039713,31.0799555207538,0.192875503021896
1.8,0.0627974052729953,31.3987026377569,0.214327451482604
1.9,0.0634994931092619,31.749746556104,0.233036006864481
2,0.0642562842471221,32.1281421252863,0.251133183099707
2.1,0.0650798822031581,32.5399411035657,0.272294316497778
2.2,0.0659618440200746,32.9809220126423,0.295676950552195
2.3,0.0669416978138068,33.470848910335,0.325257485230267
2.4,0.0680244679609682,34.0122339850848,0.362908425266061
2.5,0.0692322413334624,34.6161206736545,0.406012417403272
2.6,0.0705836326959111,35.2918163567222,0.452503625072779
2.7,0.0720615637921243,36.0307819072728,0.49212255621387
2.8,0.0736927930193737,36.8463965235887,0.541819976292278
2.9,0.0755208254525647,37.7604127514586,0.633810782498791
3,0.0776678557345298,38.8339279090427,0.738244430737758
3.1,0.0801531440509708,40.076572090438,0.850239636520797
3.2,0.0830177698156209,41.5088850651142,0.977276682247346
3.3,0.0863132485054779,43.1566244628541,1.13684969531446
3.4,0.0902272304722347,45.1136191918197,1.35809329566738
3.5,0.0949482475533327,47.4741230932271,1.66031763650978
3.6,0.100844830499791,50.422432339555,2.07284869609191
3.7,0.107985102689477,53.9925564039869,2.53216384665899
3.8,0.116298416132048,58.1492144544826,2.70370367097208
3.9,0.124726430659492,62.3632294524858,2.4693795164504
4,0.132583033429492,66.2915358221135,2.72115986077022
4.1,0.141661961301969,70.8309883373276,3.03883258396406
4.2,0.151355163237836,75.6775924188927,3.12661455957776
4.3,0.160815176970863,80.4076124947051,3.00643081559729
4.4,0.170056629799873,85.028298273978,2.85110277609856
4.5,0.178684907452028,89.3424318009704,2.73329609580197
4.6,0.187063153498511,93.5315931427101,2.6978315632324
4.7,0.195839173981,97.919604934935,2.84985897482112
4.8,0.205199299768237,102.599657556855,3.21014742926245
4.9,0.215601267625117,107.800633172114,3.31019400737238
5,0.225266074905805,112.633091471127,2.59180147908685
5.1,0.233066911083007,116.533514616298,2.58577613384876
5.2,0.241542695794161,120.771367530814,2.87138407792753
5.3,0.250795792185008,125.397856943028,2.99206732074251
5.4,0.259955593063565,129.977680157289,2.90709350250166
5.5,0.268879136073501,134.439428081023,2.75287965456245
5.6,0.277222100041411,138.610928176439,2.66537021730274
5.7,0.285547929393607,142.773878532785,2.67913305770813
5.8,0.294213076200083,147.106480217139,2.82049301977531
5.9,0.303449148163969,151.724670500586,3.19832101850767
6,0.313900446639659,156.950458418397,3.39505135501024
6.1,0.323872142558346,161.936357268112,2.64533652595645
6.2,0.331792797874524,165.896661875696,2.56480544226654
6.3,0.340086831750481,170.043610975074,2.84376404050552
6.4,0.349335954670367,174.66818481009,3.00480275109919
6.5,0.358626858588202,179.313679977079,2.92715140835581
6.6,0.36756891995703,183.784722268429,2.76973094613395
6.7,0.375993320628835,187.996888703589,2.66689900403974
6.8,0.38423313513114,192.116709211125,2.62734371297671
6.9,0.392723687020464,196.361926101383,2.71702257858878
7,0.401636076302686,200.818150346133,3.02169332575581
7.1,0.411672515108808,205.836439384875,3.16514473869532
7.2,0.421177476595071,210.588938811304,2.60776591677722
7.3,0.429073598289409,214.537039290483,2.52422241489543
7.4,0.43727848811012,218.639511685389,2.80334994009711
7.5,0.446439444416558,223.219971506266,2.97117753628778
7.6,0.455710690413094,227.855536618195,2.91138880686056
7.7,0.464567444889129,232.283821038979,2.76299644127689
7.8,0.472971462399638,236.485716760046,2.65047294486977
7.9,0.481032797167709,240.516287596643,2.57055185922857
8,0.48936286786,244.681140529962,2.65345501713432
8.1,0.498370154142628,249.184490780552,3.02996662184582
8.2,0.508509018585231,254.253556514927,3.227726040272
8.3,0.518269585034535,259.133565149163,2.66980341857005
8.4,0.526178048857917,263.087699893734,2.43822056831209
8.5,0.533980485971267,266.988841870777,2.66943364354715
8.6,0.542789259347945,271.393044912536,2.86851240614366
8.7,0.551805321882559,275.900791826309,2.8339227560083
8.8,0.56043288664066,280.214305432934,2.69927634872131
8.9,0.568644903531667,284.320160371571,2.58783626131036
9,0.576531666822455,288.263611543698,2.49774178334672
9.1,0.584725398852661,292.36067249091,2.59535195263068
9.2,0.593517163249242,296.756868858642,2.95935463831352
9.3,0.603432992424331,301.715200136849,3.18155447867254
9.4,0.613175283338363,306.586730398801,2.71678751667204
9.5,0.621130744300209,310.564666276273,2.38638547201348
9.6,0.628672398119419,314.335672167875,2.59667588118816
9.7,0.63733673284699,318.668051799447,2.84528568850267
9.8,0.646338513288106,323.169173388117,2.83786349037643
9.9,0.654979321886792,327.489765141492,2.70579965437892
10,0.663209356267452,331.604921513858,2.57500713172124
10.1,0.671140489956402,335.570605016814,2.47559451043427
10.2,0.679151064912622,339.576006973109,2.50819569375277
10.3,0.687475855714922,343.738480157676,2.75051508804701
10.4,0.696594175940709,348.29768343232,2.93513262067828
10.5,0.705700118884614,352.850705327439,2.60936602896298
10.6,0.713387162013411,356.694329068437,2.25788665632527
10.7,0.72052883893708,360.265197101642,2.45425618941455
10.8,0.728740463305215,364.370929821755,2.70429980968375
10.9,0.737312181868889,368.656675076701,2.70589492752263
11,0.745471907649942,372.736494605764,2.56350877328556
11.1,0.753331115799163,376.666052475452,2.41906079851432
11.2,0.760689105640594,380.34491634259,2.28652655470798
11.3,0.768004751265272,384.002570358898,2.27948235292472
11.4,0.775496691125808,387.748415806855,2.46946167499033
11.5,0.783583635251697,391.79174805105,2.61466995289498
11.6,0.791575890417462,395.787617887187,2.21922968906134
11.7,0.797440637851333,398.719725870919,1.47720013873215
11.8,0.801412690791097,400.705532818066,1.23566851075686
11.9,0.805050088300481,402.524032107696,1.15618343152363
12,0.808317825021806,404.157711707905,0.901496785957116
12.1,0.810512569575273,405.254945208788,0.601135515812249
12.2,0.812179323388493,406.088226280797,0.389719025726164
12.3,0.813269931952802,406.633462183081,0.246583509394085
12.4,0.813873603058366,406.935245635156,0.120803602950336
12.5,0.814073280585828,407.035062184058,0.00586114493656925
